"word","count"
"phrase",160
"HillaryLies",160
"forward",160
"health",160
"7kPXd8SGpK",160
"😂",160
"JackieosBrewery",159
"interests",159
"companies",159
"exposes",159
"WOMEN",159
"including",159
"TeacherAppreciationDay",158
"P8q…",158
"fear",158
"choices",158
"scandal",158
"standing",158
"promises",158
"wonder",158
"taken",158
"benefit",158
"DenyNAI",158
"Trail",157
"thank",157
"confronts",157
"politician",157
"ShennaFoxMusic",157
"ghost",157
"Getty",157
"DrJillStein",156
"level",156
"Look",156
"cuts",156
"PoliticsPeach",155
"views",155
"caused",155
"Another",155
"probably",155
"save",154
"movement",154
"Skies",154
"McCain",154
"Retweeted",154
"millennials",154
"Islam",154
"death",154
"Them",153
"bernie",153
"pocket",153
"worldwide",153
"BKQOOMU6Lz",153
"hashtag",153
"7zG2HrebW3",152
"fracking",152
"barnes",152
"parties",152
"continues",152
"results",152
"official",152
"tEnbvq5a9r",152
"started",151
"GuamCaucus",151
"backing",151
"interviews",151
"Senator",150
"CAGOPConvention",150
"huge",150
"mouth",150
"mistakes",150
"keeps",150
"wasn",149
"convention",149
"pulverize",149
"VoteTrump",149
"examined",149
"tactics",149
"whole",149
"realize",149
"Hill",148
"happy",148
"answer",148
"definitely",148
"witch",148
"leading",147
"fake",147
"backdoor",147
"leveraged",147
"claims",147
"infowars",147
"VivaLaAmes",146
"self",146
"lets",146
"Police",146
"taxes",146
"Industry",146
"Emails",146
"rest",145
"RealDonaldTrump",145
"citizens",145
"Drunk",145
"Scandal",145
"pretty",145
"regard",145
"follow",145
"beating",145
"WeAreBernie",144
"JSavoly",144
"Many",144
"cards",144
"rigged",144
"SuperTuesday",144
"Commander",144
"SenatorSessions",144
"HpoAyL4n68",144
"👉",144
"rich",143
"showing",143
"OVER",143
"sgrant525",143
"2014",143
"Jane",143
"Sachs",143
"integrity",143
"NJASAP",143
"responsible",143
"NotJustAnyWoman",143
"common",143
"deposition",143
"UtxG4W3e00",143
"DOUBTMYPROGRESS",143
"went",143
"entire",142
"Trevor",142
"move",142
"list",142
"Truth",142
"1nWN4ONCED",142
"z…",142
"Supreme",141
"Sign",141
"austerity",141
"AlisonSpalding2",141
"Saudi",141
"Didn",141
"STUPID",141
"Caught",141
"becoming",141
"LaFauci",141
"night",141
"WANT",140
"jdhowa2",140
"Give",140
"believes",140
"Prepare",140
"fossil",140
"Every",140
"gender",140
"oligarchs",139
"Join",139
"aide",139
"truly",139
"bully",139
"nominate",139
"conservative",139
"girlsreallyrule",139
"wife",139
"GazaUnderAttack",138
"Let’s",138
"Donate",138
"marcorubio",138
"doesn’t",138
"thewobbleeffect",138
"primaries",137
"research",137
"leadership",137
"cause",137
"explains",137
"trade",137
"Montgomery",137
"CROOKED",137
"unity",137
"facing",137
"Williamson",136
"Donations",136
"ones",136
"legal",136
"ticket",136
"fire",136
"serious",136
"ScottWalker",136
"listening",135
"totally",135
"control",135
"Jobs",135
"confused",135
"lZJ8T0Xu3M",135
"TheEllenShow",135
"Graham",135
"DNf6X1IqlJ",135
"winners",135
"stuff",135
"double",134
"luck",134
"followers",134
"bullshit",134
"Rasmussen",134
"Spanish",134
"provide",134
"possible",133
"push",133
"shouldn",133
"manufactured",133
"damn",133
"msnbc",133
"Beacon",133
"vA4xCWEjj5",133
"fundraiser",133
"WestVirginia",133
"jRoTo655bt",133
"wage",132
"sent",132
"Could",132
"Shame",132
"biggest",132
"guys",132
"Parker9",132
"2b4ZaHocXi",131
"POLITICOMag",131
"moving",131
"idolizing",131
"johnkasich",131
"hold",131
"tweets",131
"education",131
"justice",131
"goals",131
"Hilary",131
"paying",131
"crime",130
"listen",130
"handle",130
"report",130
"raped",130
"GoogleTrends",130
"wish",130
"TruthFeedNews",129
"sold",129
"Retweet",129
"slams",129
"DESTROY",129
"liberals",129
"sense",129
"asamjulian",129
"Deal",129
"Come",129
"Both",129
"blacks",129
"target",129
"break",129
"press",129
"Black",129
"Canada4Bernie",129
"Oregon4Hillary",129
"picking",129
"pushforward2014",129
"crazy",128
"AppSame",128
"search",128
"alone",128
"sauce",128
"funny",128
"TrumpCard",128
"gs777gs777",128
"Media",128
"Would",128
"parents",128
"Breaking",128
"SHITS",127
"Voters",127
"screaming",127
"hand",127
"RealBenCarson",127
"losing",127
"BarbMuenchen",127
"republicans",127
"thehallicjshow",127
"uses",126
"YOaZbi8KO7",126
"770EKqWduu",126
"reverse",126
"hide",126
"AmericaRising",126
"tired",126
"donated",126
"DropOutClinton",126
"FloridaforHRC",126
"economic",126
"Senate",126
"destroyed",125
"sell",125
"safe",125
"minorities",125
"violent",125
"pander",125
"GOTV",125
"opens",125
"mikereedschmidt",125
